they said before i had a visa	[' they told me I had a visa earlier', ' do they know that they totaled the car', ' I did it online before', ' how can I be of assistance to you', ' i can’t deposit a check on my phone']
we could transfer money into my usaa checking account when i need it	[' i have an auto policy with usaa and i need your help', ' when we have to we transfer funds into my checking account', ' if she takes the driving course i heard we save a lot of money', ' I am outside of the country and need a notification on my card', ' do i have to call when that expires of does it renew by itself']
may I have your name please	[' what’s your new address', ' after we finish with this i have a totally separate question', ' to best assist you i will be asking a few additional questions', ' i have an auto policy with usaa and i need your help', ' i got a fraud alert from usaa and i have no idea what card it is for or what’s going on']
last time i did it online	[' I did it online before', ' they told me I had a visa earlier', ' how can I be of assistance to you', ' what’s your new address', ' i can’t hear you let me turn the volume up']
how may I help you	[' how can I be of assistance to you', ' I did it online before', ' they told me I had a visa earlier', ' to best assist you i will be asking a few additional questions', ' who do I have the pleasure of speaking with']
thank you for choosing usaa	[' thank you for calling usaa', ' okay thank you how can i get the tracking information for that because usaa said they would email it to me but never did', ' i have an auto policy with usaa and i need your help', ' let’s see what we can do for you here', ' okay that’s crazy and now they’re asking for a declarations page for your new policy here at usaa right']
my debit card keeps getting refused	[' hi linda i wanna know if my new debit card got mailed already and whether it is expedited or regular mail', ' I am outside of the country and need a notification on my card', ' i wanna switch it from my checking account to my credit card ‘cause it’s more than i thought it would be', ' i got a fraud alert from usaa and i have no idea what card it is for or what’s going on', ' i don’t want her to use my car but can she still drive it in an emergency']
let me take a look and see here	[' they told me I had a visa earlier', ' let’s see what we can do for you here', ' i can’t hear you let me turn the volume up', ' i can’t deposit a check on my phone', ' my mom and stepdad are with verizon and were asking me why cricket is a better company']
I need to put a travel notification on my card	[' I am outside of the country and need a notification on my card', ' i can’t deposit a check on my phone', ' i am calling you guys before i call her to see if i need to change my card again', ' i’ve talked to three people already so hopefully i don’t get transferred again', ' i need to verify and identify you through the system ‘cause I just realized this might be on your credit card account']
I’d be more than happy to help you	[' to best assist you i will be asking a few additional questions', ' i can’t deposit a check on my phone', ' i’m happy to help you get that money to your son what account will you be transferring it to him from', ' i can’t hear you let me turn the volume up', ' i’ve talked to three people already so hopefully i don’t get transferred again']
well see it's like my mom and stepdad have verizon they were asking me the benefits for cricket	[' my mom and stepdad are with verizon and were asking me why cricket is a better company', ' i got a fraud alert from usaa and i have no idea what card it is for or what’s going on', ' okay thank you how can i get the tracking information for that because usaa said they would email it to me but never did', ' i don’t know why they’re making it so difficult for you they should have the total loss on record', ' hi linda i wanna know if my new debit card got mailed already and whether it is expedited or regular mail']
yes i am hoping you can help me uhm i have uh an auto policy with you guys	[' i can stay on the line with you while you’re signing in case it gives you a problem', ' i can definitely help you and just to make sure i’ve got the right account what is your full name', ' someone will need to authenticate you so i can unlock your account because i cannot access your account', ' i might now be able to email the information to you but i can definitely let you know the status', ' i need to verify and identify you through the system ‘cause I just realized this might be on your credit card account']
no but fortunately for me i worked at a university not for the government	[' luckily i didn’t work for the goverment i worked at a university', ' it doesn’t look like a button but is says the words add check', ' i can pay it all at once if I get the money next month', ' i got a fraud alert from usaa and i have no idea what card it is for or what’s going on', ' my card is being declined here at the grocery store but i know i have enough money on it']
